dilirank_name,Z_mito,k_mito,Z_bile,k_bile,Z_reactive,k_reactive,Proposed_Mechanism,Max_Z_Mech
Leflunomide,-0.20903143546584,0,-0.16641920303104338,0,-0.19920476822239894,0,Unexplained,-0.16641920303104338
Lemborexant,-0.14780754549905364,0,-0.11767614698291161,0,-0.14085904245475275,0,Unexplained,-0.11767614698291161
Lenalidomide,-0.23370424956798933,0,-0.18606232536937603,0,-0.22271770159368698,0,Unexplained,-0.18606232536937603
Letermovir,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Letrozole,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Leuprolide acetate,-0.14780754549905364,0,-0.11767614698291161,0,-0.14085904245475275,0,Unexplained,-0.11767614698291161
Levetiracetam,-0.18102653330294494,0,-0.1441232575024438,0,-0.17251638983558856,0,Unexplained,-0.1441232575024438
Levocarnitine,-0.3620530666058899,0,-0.2882465150048876,0,-0.3450327796711771,0,Unexplained,-0.2882465150048876
Levofloxacin,-0.20903143546584,0,-0.16641920303104338,0,-0.19920476822239894,0,Unexplained,-0.16641920303104338
Levoleucovorin,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Levonorgestrel,-0.2560101785464095,0,-0.20382106541334596,0,-0.2439750182371333,0,Unexplained,-0.20382106541334596
Levorphanol tartrate,-0.18102653330294494,0,-0.1441232575024438,0,-0.17251638983558856,0,Unexplained,-0.1441232575024438
Levothyroxine sodium,-0.20903143546584,0,-0.16641920303104338,0,-0.19920476822239894,0,Unexplained,-0.16641920303104338
Lidocaine,-0.2956150909981073,0,-0.23535229396582322,0,-0.2817180849095055,0,Unexplained,-0.23535229396582322
Linaclotide,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Linagliptin,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Liothyronine sodium,-0.18102653330294494,0,-0.1441232575024438,0,-0.17251638983558856,0,Unexplained,-0.1441232575024438
Liraglutide,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Lisinopril,-0.14780754549905364,0,-0.11767614698291161,0,-0.14085904245475275,0,Unexplained,-0.11767614698291161
Lofexidine hydrochloride,-0.2560101785464095,0,-0.20382106541334596,0,-0.2439750182371333,0,Unexplained,-0.20382106541334596
Lomitapide mesylate,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Lomustine,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Loperamide hydrochloride,-0.27652259721872974,0,-0.22015191230285366,0,-0.26352313834736496,0,Unexplained,-0.22015191230285366
Loracarbef,-0.14780754549905364,0,-0.11767614698291161,0,-0.14085904245475275,0,Unexplained,-0.11767614698291161
Loratadine,-0.14780754549905364,0,-0.11767614698291161,0,-0.14085904245475275,0,Unexplained,-0.11767614698291161
Lorazepam,-0.14780754549905364,0,-0.11767614698291161,0,-0.14085904245475275,0,Unexplained,-0.11767614698291161
Losartan potassium,-0.14780754549905364,0,-0.11767614698291161,0,-0.14085904245475275,0,Unexplained,-0.11767614698291161
Lovastatin,-0.18102653330294494,0,-0.1441232575024438,0,-0.17251638983558856,0,Unexplained,-0.1441232575024438
Lubiprostone,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Lumiracoxib,-0.14780754549905364,0,-0.11767614698291161,0,-0.14085904245475275,0,Unexplained,-0.11767614698291161
Lurasidone hydrochloride,-0.2560101785464095,0,-0.20382106541334596,0,-0.2439750182371333,0,Unexplained,-0.20382106541334596
Lusutrombopag,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Macimorelin acetate,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Macitentan,-0.14780754549905364,0,-0.11767614698291161,0,-0.14085904245475275,0,Unexplained,-0.11767614698291161
Maraviroc,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Maribavir,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Mebendazole,-0.14780754549905364,0,-0.11767614698291161,0,-0.14085904245475275,0,Unexplained,-0.11767614698291161
Mecamylamine hydrochloride,-0.20903143546584,0,-0.16641920303104338,0,-0.19920476822239894,0,Unexplained,-0.16641920303104338
Meclizine hydrochloride,-0.14780754549905364,0,-0.11767614698291161,0,-0.14085904245475275,0,Unexplained,-0.11767614698291161
Mefenamic acid,-0.14780754549905364,0,-0.11767614698291161,0,-0.14085904245475275,0,Unexplained,-0.11767614698291161
Mefloquine hydrochloride,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Meloxicam,-0.14780754549905364,0,-0.11767614698291161,0,-0.14085904245475275,0,Unexplained,-0.11767614698291161
Memantine hydrochloride,-0.23370424956798933,0,-0.18606232536937603,0,-0.22271770159368698,0,Unexplained,-0.18606232536937603
Meperidine hydrochloride,-0.3620530666058899,0,-0.2882465150048876,0,-0.3450327796711771,0,Unexplained,-0.2882465150048876
Mepivacaine hydrochloride,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Meprobamate,-0.2956150909981073,0,-0.23535229396582322,0,-0.2817180849095055,0,Unexplained,-0.23535229396582322
Mercaptopurine,-0.18102653330294494,0,-0.1441232575024438,0,-0.17251638983558856,0,Unexplained,-0.1441232575024438
Meropenem,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Mesalamine,-0.27652259721872974,0,-0.22015191230285366,0,-0.26352313834736496,0,Unexplained,-0.22015191230285366
Metaproterenol sulfate,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Metformin hydrochloride,-0.23370424956798933,0,-0.18606232536937603,0,-0.22271770159368698,0,Unexplained,-0.18606232536937603
Methamphetamine hydrochloride,-0.376836779377964,0,-0.30001648487513954,0,-0.35912150307138946,0,Unexplained,-0.30001648487513954
Methazolamide,-0.23370424956798933,0,-0.18606232536937603,0,-0.22271770159368698,0,Unexplained,-0.18606232536937603
Methimazole,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Methionine,-0.23370424956798933,0,-0.18606232536937603,0,-0.22271770159368698,0,Unexplained,-0.18606232536937603
Methotrexate sodium,-0.23370424956798933,0,-0.18606232536937603,0,-0.22271770159368698,0,Unexplained,-0.18606232536937603
Methoxsalen,-0.10451571773292,0,-0.08320960151552169,0,10.039920318408907,1,Reactive,10.039920318408907
Methscopolamine bromide,-0.18102653330294494,0,-0.1441232575024438,0,-0.17251638983558856,0,Unexplained,-0.1441232575024438
Methsuximide,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Methyldopa,-0.18102653330294494,0,-0.1441232575024438,0,-0.17251638983558856,0,Unexplained,-0.1441232575024438
Methylergonovine maleate,-0.14780754549905364,0,-0.11767614698291161,0,-0.14085904245475275,0,Unexplained,-0.11767614698291161
Methylphenidate hydrochloride,-0.18102653330294494,0,-0.1441232575024438,0,-0.17251638983558856,0,Unexplained,-0.1441232575024438
Methylprednisolone,-0.14780754549905364,0,-0.11767614698291161,0,-0.14085904245475275,0,Unexplained,-0.11767614698291161
Methyltestosterone,-0.14780754549905364,0,-0.11767614698291161,0,-0.14085904245475275,0,Unexplained,-0.11767614698291161
Methysergide maleate,-0.2956150909981073,0,-0.23535229396582322,0,-0.2817180849095055,0,Unexplained,-0.23535229396582322
Metoclopramide hydrochloride,-0.20903143546584,0,-0.16641920303104338,0,-0.19920476822239894,0,Unexplained,-0.16641920303104338
Metoprolol tartrate,-0.14780754549905364,0,-0.11767614698291161,0,-0.14085904245475275,0,Unexplained,-0.11767614698291161
Metronidazole,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Metyrapone,-0.14780754549905364,0,-0.11767614698291161,0,-0.14085904245475275,0,Unexplained,-0.11767614698291161
Metyrosine,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Mexiletine hydrochloride,-0.14780754549905364,0,-0.11767614698291161,0,-0.14085904245475275,0,Unexplained,-0.11767614698291161
Micafungin sodium,-0.14780754549905364,0,-0.11767614698291161,0,-0.14085904245475275,0,Unexplained,-0.11767614698291161
Midazolam hydrochloride,-0.18102653330294494,0,-0.1441232575024438,0,-0.17251638983558856,0,Unexplained,-0.1441232575024438
Midodrine hydrochloride,-0.18102653330294494,0,-0.1441232575024438,0,-0.17251638983558856,0,Unexplained,-0.1441232575024438
Mifepristone,-0.20903143546584,0,-0.16641920303104338,0,-0.19920476822239894,0,Unexplained,-0.16641920303104338
Migalastat hydrochloride,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Miglitol,-0.20903143546584,0,-0.16641920303104338,0,-0.19920476822239894,0,Unexplained,-0.16641920303104338
Miglustat,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Milnacipran hydrochloride,-0.18102653330294494,0,-0.1441232575024438,0,-0.17251638983558856,0,Unexplained,-0.1441232575024438
Minocycline hydrochloride,-0.3466394204147899,0,-0.2759750271819735,0,-0.33034373632170494,0,Unexplained,-0.2759750271819735
Minoxidil,-0.18102653330294494,0,-0.1441232575024438,0,-0.17251638983558856,0,Unexplained,-0.1441232575024438
Mirtazapine,-0.27652259721872974,0,-0.22015191230285366,0,-0.26352313834736496,0,Unexplained,-0.22015191230285366
Mitotane,-0.23370424956798933,0,-0.18606232536937603,0,-0.22271770159368698,0,Unexplained,-0.18606232536937603
Mitoxantrone hydrochloride,-0.14780754549905364,0,-0.11767614698291161,0,-0.14085904245475275,0,Unexplained,-0.11767614698291161
Modafinil,-0.14780754549905364,0,-0.11767614698291161,0,-0.14085904245475275,0,Unexplained,-0.11767614698291161
Montelukast sodium,-0.14780754549905364,0,-0.11767614698291161,0,-0.14085904245475275,0,Unexplained,-0.11767614698291161
Morphine sulfate,-0.20903143546584,0,-0.16641920303104338,0,-0.19920476822239894,0,Unexplained,-0.16641920303104338
Moxifloxacin hydrochloride,-0.2560101785464095,0,-0.20382106541334596,0,-0.2439750182371333,0,Unexplained,-0.20382106541334596
Moxisylyte,-0.14780754549905364,0,-0.11767614698291161,0,-0.14085904245475275,0,Unexplained,-0.11767614698291161
Mycophenolate mofetil,-0.20903143546584,0,-0.16641920303104338,0,-0.19920476822239894,0,Unexplained,-0.16641920303104338
Nabilone,-0.14780754549905364,0,-0.11767614698291161,0,-0.14085904245475275,0,Unexplained,-0.11767614698291161
Nafcillin sodium,-0.23370424956798933,0,-0.18606232536937603,0,-0.22271770159368698,0,Unexplained,-0.18606232536937603
Nalbuphine hydrochloride,-0.18102653330294494,0,-0.1441232575024438,0,-0.17251638983558856,0,Unexplained,-0.1441232575024438
Naloxone hydrochloride,-0.27652259721872974,0,-0.22015191230285366,0,-0.26352313834736496,0,Unexplained,-0.22015191230285366
Nandrolone phenpropionate,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Naproxen,-0.20903143546584,0,-0.16641920303104338,0,-0.19920476822239894,0,Unexplained,-0.16641920303104338
Nefazodone hydrochloride,-0.330507719323277,0,-0.2631318639840472,0,-0.314970394174356,0,Unexplained,-0.2631318639840472
Nelarabine,-0.20903143546584,0,-0.16641920303104338,0,-0.19920476822239894,0,Unexplained,-0.16641920303104338
Nelfinavir mesylate,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Neomycin sulfate,-0.14780754549905364,0,-0.11767614698291161,0,-0.14085904245475275,0,Unexplained,-0.11767614698291161
Nesiritide,-0.18102653330294494,0,-0.1441232575024438,0,-0.17251638983558856,0,Unexplained,-0.1441232575024438
Nevirapine,-0.14780754549905364,0,-0.11767614698291161,0,-0.14085904245475275,0,Unexplained,-0.11767614698291161
Niacin,-0.23370424956798933,0,-0.18606232536937603,0,-0.22271770159368698,0,Unexplained,-0.18606232536937603
Nialamide,-0.18102653330294494,0,-0.1441232575024438,0,-0.17251638983558856,0,Unexplained,-0.1441232575024438
Nifedipine,-0.2956150909981073,0,-0.23535229396582322,0,-0.2817180849095055,0,Unexplained,-0.23535229396582322
Nifurtimox,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Nilotinib hydrochloride,-0.14780754549905364,0,-0.11767614698291161,0,-0.14085904245475275,0,Unexplained,-0.11767614698291161
Nilutamide,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Nimesulide,-0.20903143546584,0,-0.16641920303104338,0,-0.19920476822239894,0,Unexplained,-0.16641920303104338
Niperotidine,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Nitazoxanide,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Nitrofurantoin,-0.18102653330294494,0,-0.1441232575024438,0,-0.17251638983558856,0,Unexplained,-0.1441232575024438
Nitroglycerin,-0.20903143546584,0,-0.16641920303104338,0,-0.19920476822239894,0,Unexplained,-0.16641920303104338
Nizatidine,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Nomifensine,-0.2956150909981073,0,-0.23535229396582322,0,-0.2817180849095055,0,Unexplained,-0.23535229396582322
Norethindrone acetate,-0.18102653330294494,0,-0.1441232575024438,0,-0.17251638983558856,0,Unexplained,-0.1441232575024438
Norfloxacin,-0.2560101785464095,0,-0.20382106541334596,0,-0.2439750182371333,0,Unexplained,-0.20382106541334596
Nortriptyline hydrochloride,-0.40478763419651437,0,-0.32226940091417094,0,-0.3857583749052298,0,Unexplained,-0.32226940091417094
Obeticholic acid,-0.10451571773292,0,12.017843876027488,1,-0.09960238411119947,0,Cholestatic,12.017843876027488
Octreotide acetate,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Ofloxacin,-0.23370424956798933,0,-0.18606232536937603,0,-0.22271770159368698,0,Unexplained,-0.18606232536937603
Olanzapine,-0.4555734516094202,0,-0.3627022441384479,0,-0.43415672687643975,0,Unexplained,-0.3627022441384479
Olaparib,-0.20903143546584,0,-0.16641920303104338,0,-0.19920476822239894,0,Unexplained,-0.16641920303104338
Olsalazine sodium,-0.18102653330294494,0,-0.1441232575024438,0,-0.17251638983558856,0,Unexplained,-0.1441232575024438
Omeprazole,-0.18102653330294494,0,-0.1441232575024438,0,-0.17251638983558856,0,Unexplained,-0.1441232575024438
Ondansetron hydrochloride,-0.23370424956798933,0,-0.18606232536937603,0,-0.22271770159368698,0,Unexplained,-0.18606232536937603
Opicapone,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Orlistat,-0.20903143546584,0,-0.16641920303104338,0,-0.19920476822239894,0,Unexplained,-0.16641920303104338
Orphenadrine hydrochloride,-0.27652259721872974,0,-0.22015191230285366,0,-0.26352313834736496,0,Unexplained,-0.22015191230285366
Osimertinib mesylate,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Ospemifene,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Oxacillin sodium,-0.330507719323277,0,-0.2631318639840472,0,-0.314970394174356,0,Unexplained,-0.2631318639840472
Oxandrolone,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Oxaprozin,-0.14780754549905364,0,-0.11767614698291161,0,-0.14085904245475275,0,Unexplained,-0.11767614698291161
Oxcarbazepine,-0.14780754549905364,0,-0.11767614698291161,0,-0.14085904245475275,0,Unexplained,-0.11767614698291161
Oxycodone hydrochloride,-0.18102653330294494,0,-0.1441232575024438,0,-0.17251638983558856,0,Unexplained,-0.1441232575024438
Oxymetholone,-0.14780754549905364,0,-0.11767614698291161,0,-0.14085904245475275,0,Unexplained,-0.11767614698291161
Oxymorphone hydrochloride,-0.14780754549905364,0,-0.11767614698291161,0,-0.14085904245475275,0,Unexplained,-0.11767614698291161
Oxytocin,-0.20903143546584,0,-0.16641920303104338,0,-0.19920476822239894,0,Unexplained,-0.16641920303104338
Paclitaxel,5.403367736466689,1,-0.1441232575024438,0,-0.17251638983558856,0,Mitochondrial,5.403367736466689
Pafolacianine sodium,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Palbociclib,-0.14780754549905364,0,-0.11767614698291161,0,-0.14085904245475275,0,Unexplained,-0.11767614698291161
Paliperidone,-0.40478763419651437,0,-0.32226940091417094,0,-0.3857583749052298,0,Unexplained,-0.32226940091417094
Pantoprazole sodium,-0.18102653330294494,0,-0.1441232575024438,0,-0.17251638983558856,0,Unexplained,-0.1441232575024438
Papaverine hydrochloride,-0.20903143546584,0,-0.16641920303104338,0,-0.19920476822239894,0,Unexplained,-0.16641920303104338
Paromomycin sulfate,-0.18102653330294494,0,-0.1441232575024438,0,-0.17251638983558856,0,Unexplained,-0.1441232575024438
Paroxetine hydrochloride,-0.3620530666058899,0,-0.2882465150048876,0,-0.3450327796711771,0,Unexplained,-0.2882465150048876
Pazopanib hydrochloride,-0.330507719323277,0,-0.2631318639840472,0,-0.314970394174356,0,Unexplained,-0.2631318639840472
Pegfilgrastim,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Penbutolol sulfate,-0.20903143546584,0,-0.16641920303104338,0,-0.19920476822239894,0,Unexplained,-0.16641920303104338
Penicillin v potassium,-0.23370424956798933,0,-0.18606232536937603,0,-0.22271770159368698,0,Unexplained,-0.18606232536937603
Pentagastrin,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Pentostatin,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Perampanel,-0.20903143546584,0,-0.16641920303104338,0,-0.19920476822239894,0,Unexplained,-0.16641920303104338
Perhexiline,-0.20903143546584,0,-0.16641920303104338,0,-0.19920476822239894,0,Unexplained,-0.16641920303104338
Perphenazine,-0.18102653330294494,0,-0.1441232575024438,0,-0.17251638983558856,0,Unexplained,-0.1441232575024438
Pexidartinib hydrochloride,-0.20903143546584,0,-0.16641920303104338,0,-0.19920476822239894,0,Unexplained,-0.16641920303104338
Phendimetrazine tartrate,-0.18102653330294494,0,-0.1441232575024438,0,-0.17251638983558856,0,Unexplained,-0.1441232575024438
Phenelzine sulfate,-0.27652259721872974,0,-0.22015191230285366,0,-0.26352313834736496,0,Unexplained,-0.22015191230285366
Phenobarbital sodium,-0.27652259721872974,0,-0.22015191230285366,0,-0.26352313834736496,0,Unexplained,-0.22015191230285366
Phenoxybenzamine hydrochloride,-0.31354715319876,0,-0.24962880454656505,0,-0.29880715233359845,0,Unexplained,-0.24962880454656505
Phentolamine mesylate,-0.20903143546584,0,-0.16641920303104338,0,-0.19920476822239894,0,Unexplained,-0.16641920303104338
Phenytoin,-0.330507719323277,0,-0.2631318639840472,0,-0.314970394174356,0,Unexplained,-0.2631318639840472
Phytonadione,-0.14780754549905364,0,-0.11767614698291161,0,-0.14085904245475275,0,Unexplained,-0.11767614698291161
Piflufolastat f-18,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Pimavanserin tartrate,-0.18102653330294494,0,-0.1441232575024438,0,-0.17251638983558856,0,Unexplained,-0.1441232575024438
Pimozide,-0.20903143546584,0,-0.16641920303104338,0,-0.19920476822239894,0,Unexplained,-0.16641920303104338
Pindolol,-0.23370424956798933,0,-0.18606232536937603,0,-0.22271770159368698,0,Unexplained,-0.18606232536937603
Pioglitazone hydrochloride,-0.14780754549905364,0,-0.11767614698291161,0,-0.14085904245475275,0,Unexplained,-0.11767614698291161
Pirfenidone,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Piroxicam,-0.14780754549905364,0,-0.11767614698291161,0,-0.14085904245475275,0,Unexplained,-0.11767614698291161
Pitolisant hydrochloride,-0.14780754549905364,0,-0.11767614698291161,0,-0.14085904245475275,0,Unexplained,-0.11767614698291161
Plerixafor,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Pomalidomide,-0.18102653330294494,0,-0.1441232575024438,0,-0.17251638983558856,0,Unexplained,-0.1441232575024438
Posaconazole,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Pralnacasan,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Pramlintide acetate,-0.23370424956798933,0,-0.18606232536937603,0,-0.22271770159368698,0,Unexplained,-0.18606232536937603
